Festivals,Start_Date,End_Date
San Francisco Independent Short Film Festival,25 September 2020,27 September 2020
San Francisco International New Concept Film Festival,26 October 2020,1 November 2020
San Francisco Jewish Film Festival,16 July 2020,19 July 2020
San Francisco Transgender Film Festival,12 November 2020,15 November 2020
San Francisco Veterans Film Festival,7 November 2020,8 November 2020
San Jose International Short Film Festival,22 October 2020,25 October 2020
San Luis Obispo Jewish Film Festival,2 January 2020,5 January 2020
San Pedro International Film Festival,5 November 2020,8 November 2020
Santa Barbara International Film Festival,15 January 2020,25 January 2020
Santa Barbara Jewish Film Festival,19 August 2020,23 August 2020
Santa Cruz Film Festival,13 October 2020,18 October 2020
Santa Fe Film Festival,12 February 2020,16 February 2020
Santa Fe Independent Film Festival,14 October 2020,18 October 2020
Santa Monica International Film Festival,30 November 2020,30 November 2020
Savannah Film Festival,24 October 2020,31 October 2020
Say It Loud Film Festival,19 September 2020,19 September 2020
Scare-A-Con Film Festival,16 October 2020,18 October 2020
Science Fiction and Fantasy Short Film Festival,1 April 2020,2 April 2020
Scottsdale International Film Festival,6 November 2020,15 November 2020
Screamfest Horror Film Festival,6 October 2020,15 October 2020
Seattle Asian American Film Festival ,20 February 2020,23 February 2020
Seattle Black Film Festival,9 July 2020,12 July 2020
Seattle Latino Film Festival,9 October 2020,17 October 2020
Seattle True Independent Film Festival,27 August 2020,31 December 2020
Sedona International Film Festival ,22 February 2020,1 March 2020
SENE Film Festival,13 October 2020,17 October 2020
SF Shorts: San Francisco International Festival of Short Films,22 October 2020,24 October 2020
Shawna Shea Film Festival ,1 October 2020,3 October 2020
Sherman Oaks Film Festival,12 November 2020,15 November 2020
Short Shorts Film Festival,18 January 2020,18 January 2020
Short. Sweet. Film Fest. ,26 February 2020,1 March 2020
Shortcut100,26 September 2020,26 September 2020
Shriekfest Horror Film Festival,1 October 2020,4 October 2020
Sick 'n' Wrong Film Festival,15 May 2020,17 May 2020
Sick Chick Flicks Film Festival,17 October 2020,18 October 2020
Sidewalk Film Festival,24 August 2020,30 August 2020
Sierra Canyon Film Festival,20 March 2020,20 March 2020
Silicon Valley International Film Festival,11 December 2020,12 December 2020
Sistas Are Doing It For Themselves,1 April 2020,1 April 2020
Skyline Indie Film Festival ,10 September 2020,13 September 2020
Slamdance Film Festival ,24 January 2020,30 January 2020
Smoky Mountains Film Festival,13 June 2020,27 June 2020
Snake Alley Festival of Film,30 July 2020,2 August 2020
Snowtown Film Festival,24 January 2020,25 January 2020
Social Justice Film Festival,1 October 2020,11 October 2020
Society for Visual Anthropology Film and Media Festival,18 November 2020,21 November 2020
SOHO International Film Festival,20 August 2020,27 August 2020
Soul 4 Reel Film Festival,16 August 2020,16 August 2020
Sound of Silent Film Festival,28 March 2020,28 March 2020
Sound Unseen,11 November 2020,15 November 2020
South Carolina Underground Film Festival,6 November 2020,8 November 2020
South Dakota Film Festival,17 September 2020,20 September 2020
South Georgia Film Festival,6 March 2020,8 March 2020
South Texas Underground Film Festival,23 January 2020,26 January 2020
Southeastern International Film Festival,6 November 2020,8 November 2020
Southern City Film Festival,22 February 2020,25 February 2020
Southern Screen Festival,12 November 2020,15 November 2020
SPE Media Festival,6 March 2020,7 March 2020
Speechless Film Festival,27 March 2020,28 March 2020
Spokane International Film Festival,28 February 2020,6 March 2020
Spooky Movie International Horror Film Festival,8 October 2020,11 October 2020
SSU Indie Film Festival,6 May 2020,7 May 2020
St. Cloud Film Festival,7 November 2020,14 November 2020
St. Francis College's Women's Film Festival ,15 April 2020,18 April 2020
St. Louis International Film Festival ,5 November 2020,15 November 2020
Studio City Film Festival,6 November 2020,12 November 2020
Sundance Film Festival ,23 January 2020,2 February 2020
Sundial Film Festival,7 March 2020,7 March 2020
Sunnyside Shorts International Film Festival,26 September 2020,10 October 2020
Sunscreen Film Fest West,16 October 2020,17 October 2020
Sunset Film Festival Los Angeles ,17 October 2020,18 October 2020
Sunshine City Film Festival,11 January 2020,20 January 2020
Superfest International Disability Film Festival,17 October 2020,18 October 2020
Tacoma Film Festival,9 November 2020,15 November 2020
Tallgrass Film Festival,16 October 2020,25 October 2020
Tally Shorts Film Festival,7 February 2020,8 February 2020
Tampa Bay Underground Film Festival,3 December 2020,6 December 2020
Tasveer South Asian Film Festival,2 October 2020,11 October 2020
Teaneck International Film Festival,12 November 2020,15 November 2020
Telluride Horror Show ,16 October 2020,18 October 2020
Thomas Edison Black Maria Film Festival,8 February 2020,8 February 2020
Threadbare Mitten Film Festival,3 September 2020,7 September 2020
Thriller! Chiller!,13 October 2020,17 October 2020
Through Women's Eyes Film Festival,6 March 2020,8 March 2020
Topaz Film Festival by Women in Film Dallas,8 September 2020,13 September 2020
Translations: Seattle Transgender Film Festival,7 May 2020,10 May 2020
Treasure Coast International Film Festival,25 June 2020,28 June 2020
Tri-Cities International Film Festival,9 October 2020,11 October 2020
Trinity Film Festival,1 May 2020,2 May 2020
Trinity International Film Festival,20 August 2020,23 August 2020
True/False Film Festival ,5 March 2020,8 March 2020
Tucson International Jewish Film Festival,14 January 2020,19 January 2020
Twin Cities Black Film Festival,21 October 2020,24 October 2020
Twin Cities Film Festival,21 October 2020,31 October 2020
Twin Cities Jewish Film Festival,17 October 2020,1 November 2020
Twin Falls Sandwiches Film Festival,6 November 2020,7 November 2020
Twister Alley Film Festival,25 June 2020,26 June 2020
United Nations Association Film Festival (UNAFF),15 October 2020,25 October 2020
United States Super 8 Film and Digital Video Festival,22 February 2020,23 February 2020
Universe Multicultural Film Festival,29 May 2020,31 May 2020
Urban Film Festival,4 September 2020,10 September 2020
Urban Mediamakers Festival,12 October 2020,25 October 2020
Urbanworld Film Festival,23 September 2020,27 September 2020
Utah Dance Film Festival,21 February 2020,22 February 2020
Valley Film Festival,11 November 2020,15 November 2020
Virginia Film Festival,21 October 2020,25 October 2020
VOB Film Festival,29 August 2020,6 September 2020
Wasatch Mountain Film Festival,21 September 2020,26 September 2020
Washington West International Film Festival,22 October 2020,26 October 2020
Way OUT West Film Fest,9 October 2020,18 October 2020
We Like 'em Short - Animation + Comedy Film Festival,20 August 2020,23 August 2020
West Chester International Short Film Festival,13 November 2020,15 November 2020
West Sound Film Festival,14 April 2020,16 April 2020
Weyauwega International Film Festival,11 November 2020,14 November 2020
Whistleblower Summit & Film Festival ,28 July 2020,1 August 2020
Wild & Scenic Film Festival,16 January 2020,20 January 2020
Wild Bunch Film Festival ,2 October 2020,4 October 2020
Wildlife Conservation Film Festival,15 October 2020,25 October 2020
Wildwood Film Festival,14 March 2020,14 March 2020
Williamsburg Independent Film Festival,19 November 2020,22 November 2020
Wimberley Film Festival,18 January 2020,18 January 2020
Winter Film Awards International Film Festival,20 February 2020,29 February 2020
Women of African Descent Film Festival,2 May 2020,2 May 2020
Women Sports Film Festival,16 September 2020,26 September 2020
Women's Film Festival,18 September 2020,20 September 2020
Women's Film Festival ,19 June 2020,28 June 2020
Woods Hole Film Festival,25 July 2020,1 August 2020
Woodstock Film Festival,30 September 2020,4 October 2020
Woodstock Museum Film Festival,4 September 2020,7 September 2020
Yale Student Film Festival,27 March 2020,29 March 2020
YoFiFest Yonkers Film Festival,6 November 2020,13 November 2020
ZedFest Film Festival,4 November 2020,11 November 2020
